dp1;dp2;dp3;dp4;dp5;dp6;dp7;dp8;dp9;dp10;dp11;dp12;dp13;dp14;dp15;dp16;dp17;dp18;dp19;dp20;dp21;dp22;dp23;dp24
-0.048348442;-0.040638449;-0.012646187;-0.008823529;0.008147561;0.019198571;0.076555024;0.089041096;0.026163731;0.035232417;-0.003176564;-0.011019284;-0.048133236;0.002808989;0.052444687;-0.002398401;0.016493936;0.03717536;-0.006935634;-0.018589112;0.003366567;-0.028494013;-0.046359719;-0.069084795
-0.056487925;-0.030035808;-0.022163704;0.003101806;0.002430402;0.021826913;0.076419894;0.092794812;0.047165614;0.012012272;-0.008974027;-0.002603715;-0.01479536;0.000793476;0.008162549;-0.005346422;0.022762815;0.013735443;0.003890063;-0.025472263;-0.005208333;-0.020486218;-0.048589627;-0.062611205
-0.056559469;-0.034086659;-0.014783989;-0.001103875;-0.005426657;0.025327559;0.075231843;0.098983439;0.030099436;0.011145728;-0.008501687;0.002022423;-0.019782657;0.005004916;0.004181309;0.008310494;0.014509221;0.040885716;-0.009793663;-0.024006129;0.00206576;-0.030820273;-0.04376784;-0.054825814
-0.047182569;-0.041042823;-0.018121023;-0.006004695;0.007853403;0.015095967;0.070716977;0.086160011;0.030625113;0.011291461;-0.007130596;-0.009319664;-0.010127717;0.011197205;0.007101012;-0.006210629;0.022875242;0.021001894;-0.00170503;-0.018862237;-0.015421011;-0.008512902;-0.04358706;-0.067307692
-0.054059578;-0.02606799;-0.035103115;-0.004812804;-0.000336644;0.018128232;0.027501495;0.06373923;0.012993503;0.031280547;0.010626586;0.006076142;-0.010561873;-0.007489198;-0.009100591;0.001554908;0.039783002;0.046486191;0.003823072;-0.023795627;-0.008487337;-0.017566568;-0.04063764;-0.049066932
-0.052457986;-0.040256677;-0.009447756;-0.014799636;0.001031696;0.003773801;0.032893629;0.026913648;0.005468289;0.023459791;0.012971515;0.003396634;0.003487537;0.001330263;-0.001023123;0.020766854;0.045750674;0.060465332;9.0151e-05;-0.009965573;-0.003922821;-0.032796024;-0.015803503;-0.062237174
-0.033433704;-0.045135515;-0.028004929;0.003289287;0.001357927;0.039028717;0.070810386;0.10647482;0.039548275;0.01658202;-0.002154894;-0.007100797;-0.018152322;0.013448776;-0.007097481;0.001581583;0.005515913;0.057908347;0.002961988;-0.026471323;-0.002787751;-0.020165769;-0.054260129;-0.065117154
-0.054145854;-0.021483057;-0.02109727;-0.000750308;0.01310253;0.028686173;0.059953115;0.087608816;0.03461354;0.013619339;-0.018257828;-0.003104519;-0.01680965;0.013609003;0.004236739;-0.00389021;0.012481171;0.032152176;0.007592012;-0.028009336;0.001689475;-0.026338293;-0.055666889;-0.049957743
-0.045004678;-0.041441719;-0.017371041;-0.004927164;0.008127473;0.029797503;0.067236126;0.087438765;0.027081331;0.016582614;-0.009454453;-0.004374116;-0.021370863;-0.004576659;0.002994803;-0.014261039;0.016369508;0.052474148;-0.00701989;-0.013338962;-0.006736878;-0.026530258;-0.051462305;-0.046767017
-0.062684329;-0.031449838;-0.003520939;-0.002461341;0.000428495;0.022241051;0.049243972;0.08231751;0.027263258;0.017976533;-0.004750594;-0.002030278;-0.032689717;0.004281875;0.004082558;-0.002538301;0.027129874;0.049452916;0.008455775;-0.03365405;-0.007963989;-0.013210271;-0.05846363;-0.058230037
-0.041521443;-0.026870197;-0.022614008;0.00518975;0.004626392;0.020609795;0.070993915;0.096392281;0.038552115;0.018062328;0.005113374;-0.018395072;-0.017959184;0.002511366;-0.001644666;0.004322268;-0.002418171;0.047771776;-0.001567463;-0.029745695;0.002209006;-0.028666121;-0.039907358;-0.047169372
-0.051908695;-0.034715132;-0.023123818;-0.004369372;-0.002031325;0.01212637;0.041619215;0.058195067;0.019518666;0.024835511;-0.004127494;-0.001195567;-0.008687616;-0.00754717;-0.014318011;0.008502598;0.036390505;0.059667341;0.005709173;-0.02242557;-0.020453847;-0.001953125;-0.047582223;-0.051036987
-0.055334375;-0.029879011;-0.017344465;-0.023418174;0.010402833;0.014102214;0.02020202;0.033267078;0.00359509;0.029398394;-0.001095781;0.013168969;0.000884912;-0.011565265;0.004068066;0.00779208;0.047198772;0.070175439;-0.002361688;0.000962843;-0.02668558;-0.004322377;-0.051277305;-0.040511727
